RC_Region,RC_Division,Year,Total_Chapters,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
Western New York Region,Northeast Division,2022,3,27,1503144,213273,416820,873051,14.19,27.73,41.92
Western New York Region,Northeast Division,2023,3,27,1500005,212843,437609,849553,14.19,29.17,43.36
Wisconsin Region,North Central Division,2010,5,76,2303424,276021,537929,1489474,11.98,23.35,35.34
Wisconsin Region,North Central Division,2012,5,76,2310262,291283,517603,1501376,12.61,22.4,35.01
Wisconsin Region,North Central Division,2014,5,76,2322494,293149,526199,1503146,12.62,22.66,35.28
Wisconsin Region,North Central Division,2016,5,76,2342595,276139,519654,1546802,11.79,22.18,33.97
Wisconsin Region,North Central Division,2018,5,76,2375183,266687,557658,1550838,11.23,23.48,34.71
Wisconsin Region,North Central Division,2019,5,76,2395304,249204,534111,1611989,10.4,22.3,32.7
Wisconsin Region,North Central Division,2021,5,76,2451451,270638,574568,1606245,11.04,23.44,34.48
Wisconsin Region,North Central Division,2022,5,76,2481704,272144,607780,1601780,10.97,24.49,35.46
Wisconsin Region,North Central Division,2023,5,76,2490746,274413,600772,1615561,11.02,24.12,35.14
