RC_Region,RC_Division,Year,Total_Chapters,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
South Florida Region,Southeast and Caribbean Division,2012,5,18,3205844,492827,1106953,1606064,15.37,34.53,49.9
South Florida Region,Southeast and Caribbean Division,2014,5,18,3254156,501960,1171768,1580428,15.43,36.01,51.43
South Florida Region,Southeast and Caribbean Division,2016,5,18,3324519,471336,1210494,1642689,14.18,36.41,50.59
South Florida Region,Southeast and Caribbean Division,2018,5,18,3429724,458802,1205398,1765524,13.38,35.15,48.52
South Florida Region,Southeast and Caribbean Division,2019,5,18,3490373,439388,1188097,1862888,12.59,34.04,46.63
South Florida Region,Southeast and Caribbean Division,2021,5,18,3766121,504487,1224615,2037019,13.4,32.52,45.91
South Florida Region,Southeast and Caribbean Division,2022,5,18,3855788,505564,1332851,2017373,13.11,34.57,47.68
South Florida Region,Southeast and Caribbean Division,2023,5,18,3879811,496590,1394601,1988620,12.8,35.95,48.74
Southeastern Pennsylvania Region,Northeast Division,2010,2,5,1501715,203908,380798,917009,13.58,25.36,38.94
Southeastern Pennsylvania Region,Northeast Division,2012,2,5,1508981,216744,371537,920700,14.36,24.62,38.99
Southeastern Pennsylvania Region,Northeast Division,2014,2,5,1510121,210031,404079,896011,13.91,26.76,40.67
Southeastern Pennsylvania Region,Northeast Division,2016,2,5,1519154,212238,405603,901313,13.97,26.7,40.67
Southeastern Pennsylvania Region,Northeast Division,2018,2,5,1561776,205007,390985,965784,13.13,25.03,38.16
Southeastern Pennsylvania Region,Northeast Division,2019,2,5,1584105,207183,366861,1010061,13.08,23.16,36.24
Southeastern Pennsylvania Region,Northeast Division,2021,2,5,1666618,222051,417737,1026830,13.32,25.06,38.39
Southeastern Pennsylvania Region,Northeast Division,2022,2,5,1702301,223400,439709,1039192,13.12,25.83,38.95
Southeastern Pennsylvania Region,Northeast Division,2023,2,5,1696839,225553,436606,1034680,13.29,25.73,39.02
Tennessee Region,Southeast and Caribbean Division,2010,8,98,2526494,412002,759443,1355049,16.31,30.06,46.37
Tennessee Region,Southeast and Caribbean Division,2012,8,98,2562171,429552,773519,1359100,16.77,30.19,46.96
Tennessee Region,Southeast and Caribbean Division,2014,8,98,2590278,441262,853543,1295473,17.04,32.95,49.99
Tennessee Region,Southeast and Caribbean Division,2016,8,98,2646718,407786,840822,1398110,15.41,31.77,47.18
Tennessee Region,Southeast and Caribbean Division,2018,8,98,2692852,402820,862257,1427775,14.96,32.02,46.98
Tennessee Region,Southeast and Caribbean Division,2019,8,98,2730829,382484,868842,1479503,14.01,31.82,45.82
Tennessee Region,Southeast and Caribbean Division,2021,8,98,2831464,393230,844988,1593246,13.89,29.84,43.73
Tennessee Region,Southeast and Caribbean Division,2022,8,98,2897766,387441,876478,1633847,13.37,30.25,43.62
Tennessee Region,Southeast and Caribbean Division,2023,8,98,2945358,409428,874129,1661801,13.9,29.68,43.58
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2010,5,51,2962692,503333,809069,1650290,16.99,27.31,44.3
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2012,5,51,3059971,527142,879526,1653303,17.23,28.74,45.97
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2014,5,51,3208780,534142,923566,1751072,16.65,28.78,45.43
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2016,5,51,3322798,527167,932333,1863298,15.87,28.06,43.92
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2018,5,51,3347807,526007,1066672,1755128,15.71,31.86,47.57
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2019,5,51,3445845,510046,1049634,1886165,14.8,30.46,45.26
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2021,5,51,3643208,568003,1078630,1996575,15.59,29.61,45.2
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2022,5,51,3740143,581138,1133368,2025637,15.54,30.3,45.84
Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2023,5,51,3796168,586450,1077389,2132329,15.45,28.38,43.83
Virginia Region,Central Atlantic Division,2010,6,116,2081232,255054,646971,1179207,12.25,31.09,43.34
Virginia Region,Central Atlantic Division,2012,6,116,2095265,277950,710143,1107172,13.27,33.89,47.16
Virginia Region,Central Atlantic Division,2014,6,116,2128254,285489,681438,1161327,13.41,32.02,45.43
Virginia Region,Central Atlantic Division,2016,6,116,2153485,275133,686921,1191431,12.78,31.9,44.67
Virginia Region,Central Atlantic Division,2018,6,116,2176198,266368,687269,1222561,12.24,31.58,43.82
Virginia Region,Central Atlantic Division,2019,6,116,2183235,260515,656685,1266035,11.93,30.08,42.01
Virginia Region,Central Atlantic Division,2021,6,116,2268239,269571,688279,1310389,11.88,30.34,42.23
Virginia Region,Central Atlantic Division,2022,6,116,2287698,291229,718239,1278230,12.73,31.4,44.13
Virginia Region,Central Atlantic Division,2023,6,116,2310432,281982,704246,1324204,12.2,30.48,42.69
Western New York Region,Northeast Division,2010,3,27,1432170,199283,357454,875433,13.91,24.96,38.87
Western New York Region,Northeast Division,2012,3,27,1434880,202417,384140,848323,14.11,26.77,40.88
Western New York Region,Northeast Division,2014,3,27,1431446,203714,387503,840229,14.23,27.07,41.3
Western New York Region,Northeast Division,2016,3,27,1420995,198898,390253,831844,14.0,27.46,41.46
Western New York Region,Northeast Division,2018,3,27,1442681,197119,390633,854929,13.66,27.08,40.74
Western New York Region,Northeast Division,2019,3,27,1463635,200759,370558,892318,13.72,25.32,39.03
Western New York Region,Northeast Division,2021,3,27,1501526,203863,393505,904158,13.58,26.21,39.78
