RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2010,16,258795,43616,79947,135232,16.85,30.89,47.75
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2012,16,263714,46169,79502,138043,17.51,30.15,47.65
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2014,16,271263,46419,94940,129904,17.11,35.0,52.11
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2016,16,282262,42055,93688,146519,14.9,33.19,48.09
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2018,16,289790,38270,96327,155193,13.21,33.24,46.45
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2019,16,287033,38696,102534,145803,13.48,35.72,49.2
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2021,16,299787,37291,96696,165800,12.44,32.25,44.69
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2022,16,314857,43263,99283,172311,13.74,31.53,45.27
ARC Heart of Tennessee,Tennessee Region,Southeast and Caribbean Division,2023,16,318619,42002,100692,175925,13.18,31.6,44.79
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2010,3,86650,9403,20183,57064,10.85,23.29,34.14
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2012,3,86433,11477,20227,54729,13.28,23.4,36.68
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2014,3,87043,9787,20396,56860,11.24,23.43,34.68
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2016,3,86221,9195,26470,50556,10.66,30.7,41.36
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2018,3,90789,8823,22316,59650,9.72,24.58,34.3
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2019,3,87296,7883,26734,52679,9.03,30.62,39.65
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2021,3,95436,10071,28040,57325,10.55,29.38,39.93
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2022,3,97317,8723,28355,60239,8.96,29.14,38.1
ARC Louisville Area,Kentucky Region,Central Atlantic Division,2023,3,99143,10415,23944,64784,10.51,24.15,34.66
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2010,14,226861,36876,63405,126580,16.25,27.95,44.2
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2012,14,226420,37015,67670,121735,16.35,29.89,46.23
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2014,14,229086,39149,65973,123964,17.09,28.8,45.89
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2016,14,227519,36403,72064,119052,16.0,31.67,47.67
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2018,14,229383,36220,82114,111049,15.79,35.8,51.59
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2019,14,229655,34508,67168,127979,15.03,29.25,44.27
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2021,14,227126,33611,71459,122056,14.8,31.46,46.26
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2022,14,227807,36464,76685,114658,16.01,33.66,49.67
ARC of Blue Ridge Virginia,Virginia Region,Central Atlantic Division,2023,14,228988,37310,74455,117223,16.29,32.51,48.81
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2010,1,658025,90924,242216,324885,13.82,36.81,50.63
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2012,1,663905,90321,235699,337885,13.6,35.5,49.11
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2014,1,665192,92739,260791,311662,13.94,39.21,53.15
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2016,1,681474,88930,257510,335034,13.05,37.79,50.84
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2018,1,694980,89919,255946,349115,12.94,36.83,49.77
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2019,1,705472,90129,237775,377568,12.78,33.7,46.48
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2021,1,747715,100257,246374,401084,13.41,32.95,46.36
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2022,1,753084,100276,262004,390804,13.32,34.79,48.11
ARC of Broward County,South Florida Region,Southeast and Caribbean Division,2023,1,758853,102269,277598,378986,13.48,36.58,50.06
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2010,9,174328,38522,46448,89358,22.1,26.64,48.74
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2012,9,173985,35470,51899,86616,20.39,29.83,50.22
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2014,9,178121,38378,53851,85892,21.55,30.23,51.78
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2016,9,178555,32708,57306,88541,18.32,32.09,50.41
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2018,9,180796,33006,58885,88905,18.26,32.57,50.83
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2019,9,184712,36766,61338,86608,19.9,33.21,53.11
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2021,9,187563,30143,66841,90579,16.07,35.64,51.71
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2022,9,187740,34805,63972,88963,18.54,34.07,52.61
ARC of Capital Area Florida,North and Central Florida Region,Southeast and Caribbean Division,2023,9,194149,32061,62999,99089,16.51,32.45,48.96
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2010,22,476784,53458,156191,267135,11.21,32.76,43.97
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2012,22,480642,58079,160875,261688,12.08,33.47,45.55
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2014,22,493870,58835,159767,275268,11.91,32.35,44.26
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2016,22,505895,63689,163036,279170,12.59,32.23,44.82
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2018,22,512764,57272,158606,296886,11.17,30.93,42.1
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2019,22,515644,57452,158207,299985,11.14,30.68,41.82
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2021,22,547112,59677,180148,307287,10.91,32.93,43.83
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2022,22,560512,64083,177093,319336,11.43,31.59,43.03
ARC of Capital Virginia,Virginia Region,Central Atlantic Division,2023,22,565141,59079,166945,339117,10.45,29.54,39.99
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2010,22,622747,103905,169720,349122,16.68,27.25,43.94
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2012,22,637450,112596,173479,351375,17.66,27.21,44.88
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2014,22,640797,108844,191807,340146,16.99,29.93,46.92
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2016,22,637241,117309,189190,330742,18.41,29.69,48.1
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2018,22,646246,107268,210737,328241,16.6,32.61,49.21
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2019,22,643987,113520,198283,332184,17.63,30.79,48.42
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2021,22,661344,117225,210011,334108,17.73,31.76,49.48
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2022,22,686847,126956,204229,355662,18.48,29.73,48.22
ARC of Capital West Louisiana,Louisiana Region,Southwest and Rocky Mountain Division,2023,22,686793,127521,203314,355958,18.57,29.6,48.17
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2010,8,1333324,179725,445165,708434,13.48,33.39,46.87
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2012,8,1373418,206673,452569,714176,15.05,32.95,48.0
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2014,8,1408738,207363,481686,719689,14.72,34.19,48.91
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2016,8,1488601,206346,486473,795782,13.86,32.68,46.54
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2018,8,1519365,182299,508632,828434,12.0,33.48,45.47
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2019,8,1541168,169286,536373,835509,10.98,34.8,45.79
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2021,8,1706947,212614,544117,950216,12.46,31.88,44.33
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2022,8,1779754,211664,589415,978675,11.89,33.12,45.01
ARC of Central Florida Coast,North and Central Florida Region,Southeast and Caribbean Division,2023,8,1814532,210544,610801,993187,11.6,33.66,45.26
ARC of Central Illinois,Illinois Region,North Central Division,2010,26,512979,69644,114302,329033,13.58,22.28,35.86
ARC of Central Illinois,Illinois Region,North Central Division,2012,26,517875,77468,112128,328279,14.96,21.65,36.61
ARC of Central Illinois,Illinois Region,North Central Division,2014,26,516781,74305,127201,315275,14.38,24.61,38.99
ARC of Central Illinois,Illinois Region,North Central Division,2016,26,516247,72455,120467,323325,14.03,23.34,37.37
ARC of Central Illinois,Illinois Region,North Central Division,2018,26,515045,79258,118075,317712,15.39,22.93,38.31
ARC of Central Illinois,Illinois Region,North Central Division,2019,26,512591,72211,120877,319503,14.09,23.58,37.67
ARC of Central Illinois,Illinois Region,North Central Division,2021,26,524480,74714,137043,312723,14.25,26.13,40.37
ARC of Central Illinois,Illinois Region,North Central Division,2022,26,525548,71830,136012,317706,13.67,25.88,39.55
ARC of Central Illinois,Illinois Region,North Central Division,2023,26,531346,79067,134890,317389,14.88,25.39,40.27
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2010,4,702951,87293,206510,409148,12.42,29.38,41.8
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2012,4,708361,95096,248144,365121,13.42,35.03,48.46
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2014,4,701730,93823,217990,389917,13.37,31.06,44.43
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2016,4,707156,89487,202348,415321,12.65,28.61,41.27
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2018,4,705636,86283,215547,403806,12.23,30.55,42.77
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2019,4,711980,85917,207422,418641,12.07,29.13,41.2
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2021,4,752256,98782,239722,413752,13.13,31.87,45.0
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2022,4,758110,102170,233109,422831,13.48,30.75,44.23
ARC of Central Maryland,National Capital and Greater Chesapeake Region,Central Atlantic Division,2023,4,758999,99574,246150,413275,13.12,32.43,45.55
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2010,21,342974,58469,94109,190396,17.05,27.44,44.49
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2012,21,348390,65306,99797,183287,18.75,28.65,47.39
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2014,21,350222,68437,101786,179999,19.54,29.06,48.6
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2016,21,357059,63814,100032,193213,17.87,28.02,45.89
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2018,21,363383,65591,114128,183664,18.05,31.41,49.46
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2019,21,365787,60054,118529,187204,16.42,32.4,48.82
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2021,21,372361,58185,120346,193830,15.63,32.32,47.95
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2022,21,384286,55834,132337,196115,14.53,34.44,48.97
ARC of Central Midwest Georgia,Georgia Region,Southeast and Caribbean Division,2023,21,389075,60829,120587,207659,15.63,30.99,46.63
ARC of Central New Jersey,New Jersey Region,Northeast Division,2010,7,1213276,95608,295618,822050,7.88,24.37,32.25
ARC of Central New Jersey,New Jersey Region,Northeast Division,2012,7,1224333,106799,302946,814588,8.72,24.74,33.47
ARC of Central New Jersey,New Jersey Region,Northeast Division,2014,7,1216662,108372,292243,816047,8.91,24.02,32.93
ARC of Central New Jersey,New Jersey Region,Northeast Division,2016,7,1218356,105262,329542,783552,8.64,27.05,35.69
ARC of Central New Jersey,New Jersey Region,Northeast Division,2018,7,1241339,102126,303687,835526,8.23,24.46,32.69
ARC of Central New Jersey,New Jersey Region,Northeast Division,2019,7,1246488,103938,292863,849687,8.34,23.5,31.83
ARC of Central New Jersey,New Jersey Region,Northeast Division,2021,7,1324581,117294,353449,853838,8.86,26.68,35.54
ARC of Central New Jersey,New Jersey Region,Northeast Division,2022,7,1330118,115670,337493,876955,8.7,25.37,34.07
ARC of Central New Jersey,New Jersey Region,Northeast Division,2023,7,1345508,115501,373502,856505,8.58,27.76,36.34
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2010,9,672764,99241,141102,432421,14.75,20.97,35.72
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2012,9,684494,94989,163095,426410,13.88,23.83,37.7
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2014,9,702198,97305,162086,442807,13.86,23.08,36.94
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2016,9,721778,96946,171230,453602,13.43,23.72,37.15
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2018,9,742923,89333,196163,457427,12.02,26.4,38.43
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2019,9,751190,84308,182961,483921,11.22,24.36,35.58
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2021,9,789511,91902,187112,510497,11.64,23.7,35.34
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2022,9,794581,95613,199049,499919,12.03,25.05,37.08
ARC of Central Ohio,Central and Southern Ohio Region,Central Atlantic Division,2023,9,811080,100340,192692,518048,12.37,23.76,36.13
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2010,11,816371,81053,191410,543908,9.93,23.45,33.37
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2012,11,817015,92606,193461,530948,11.33,23.68,35.01
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2014,11,824604,90526,202705,531373,10.98,24.58,35.56
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2016,11,827932,76322,216110,535500,9.22,26.1,35.32
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2018,11,850279,81199,223039,546041,9.55,26.23,35.78
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2019,11,854303,82473,211426,560404,9.65,24.75,34.4
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2021,11,873863,82727,237744,553392,9.47,27.21,36.67
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2022,11,891167,91608,247306,552253,10.28,27.75,38.03
ARC of Central Pennsylvania,Greater Pennsylvania Region,Northeast Division,2023,11,895912,90932,248746,556234,10.15,27.76,37.91
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2010,16,488002,84329,129287,274386,17.28,26.49,43.77
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2012,16,490731,83212,137416,270103,16.96,28.0,44.96
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2014,16,495560,85414,149915,260231,17.24,30.25,47.49
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2016,16,511918,85534,138882,287502,16.71,27.13,43.84
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2018,16,518287,87589,160192,270506,16.9,30.91,47.81
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2019,16,523873,86331,177178,260364,16.48,33.82,50.3
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2021,16,534623,89116,150681,294826,16.67,28.18,44.85
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2022,16,543072,84939,172000,286133,15.64,31.67,47.31
ARC of Central South Carolina,South Carolina Region,Southeast and Caribbean Division,2023,16,548437,88744,157686,302007,16.18,28.75,44.93
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2010,19,250265,30215,65377,154673,12.07,26.12,38.2
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2012,19,252695,31315,70593,150787,12.39,27.94,40.33
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2014,19,256915,32850,73683,150382,12.79,28.68,41.47
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2016,19,263790,30166,84015,149609,11.44,31.85,43.28
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2018,19,266671,29944,82750,153977,11.23,31.03,42.26
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2019,19,266267,27491,81505,157271,10.32,30.61,40.93
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2021,19,272562,28700,81769,162093,10.53,30.0,40.53
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2022,19,280256,32402,83650,164204,11.56,29.85,41.41
ARC of Central Virginia,Virginia Region,Central Atlantic Division,2023,19,286362,32781,83822,169759,11.45,29.27,40.72
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2010,12,138882,18169,42601,78112,13.08,30.67,43.76
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2012,12,139568,21018,36812,81738,15.06,26.38,41.43
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2014,12,140033,19109,44690,76234,13.65,31.91,45.56
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2016,12,144336,18831,38845,86660,13.05,26.91,39.96
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2018,12,155527,18967,44785,91775,12.2,28.8,40.99
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2019,12,153616,18314,40717,94585,11.92,26.51,38.43
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2021,12,160942,16842,48092,96008,10.46,29.88,40.35
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2022,12,163866,17043,49245,97578,10.4,30.05,40.45
ARC of Central and Eastern Oregon,Cascades Region,Pacific Division,2023,12,168660,17475,46413,104772,10.36,27.52,37.88
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2010,7,177483,23314,45166,109003,13.14,25.45,38.58
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2012,7,178467,25423,44943,108101,14.25,25.18,39.43
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2014,7,175904,23679,51059,101166,13.46,29.03,42.49
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2016,7,172562,22427,47779,102356,13.0,27.69,40.68
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2018,7,180188,21573,53209,105406,11.97,29.53,41.5
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2019,7,181926,19880,50596,111450,10.93,27.81,38.74
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2021,7,183671,23508,54648,105515,12.8,29.75,42.55
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2022,7,185993,22484,57287,106222,12.09,30.8,42.89
ARC of Central and Mid Coast Maine,Northern New England Region,Northeast Division,2023,7,190346,24298,56106,109942,12.77,29.48,42.24
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2010,8,470359,64876,125344,280139,13.79,26.65,40.44
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2012,8,474144,69634,119896,284614,14.69,25.29,39.97
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2014,8,468746,71413,121522,275811,15.23,25.92,41.16
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2016,8,459029,66173,122084,270772,14.42,26.6,41.01
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2018,8,467476,62976,128561,275939,13.47,27.5,40.97
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2019,8,464825,66309,118016,280500,14.27,25.39,39.65
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2021,8,489543,65255,128704,295584,13.33,26.29,39.62
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2022,8,498321,72751,133437,292133,14.6,26.78,41.38
ARC of Central and Northern New York,Eastern New York Region,Northeast Division,2023,8,500102,73071,141661,285370,14.61,28.33,42.94
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2010,14,260613,44713,70878,145022,17.16,27.2,44.35
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2012,14,261141,44176,68871,148094,16.92,26.37,43.29
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2014,14,258170,46759,75177,136234,18.11,29.12,47.23
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2016,14,255294,45772,72818,136704,17.93,28.52,46.45
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2018,14,253751,45798,81804,126149,18.05,32.24,50.29
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2019,14,252960,47322,71380,134258,18.71,28.22,46.93
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2021,14,240866,46096,73650,121120,19.14,30.58,49.71
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2022,14,240457,44423,75650,120384,18.47,31.46,49.94
ARC of Central and Southern West Virginia,Central Appalachia Region,Central Atlantic Division,2023,14,240826,42890,72892,125044,17.81,30.27,48.08
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2010,10,451246,60046,118516,272684,13.31,26.26,39.57
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2012,10,451961,61232,124716,266013,13.55,27.59,41.14
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2014,10,447669,62007,121395,264267,13.85,27.12,40.97
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2016,10,442298,58805,126065,257428,13.3,28.5,41.8
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2018,10,445690,55342,127059,263289,12.42,28.51,40.93
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2019,10,450994,59910,116131,274953,13.28,25.75,39.03
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2021,10,446653,57135,137689,251829,12.79,30.83,43.62
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2022,10,449986,61065,136695,252226,13.57,30.38,43.95
ARC of Chestnut Ridge and Allegheny Mountains,Greater Pennsylvania Region,Northeast Division,2023,10,451079,61087,135213,254779,13.54,29.98,43.52
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2010,19,297669,52509,81071,164089,17.64,27.24,44.88
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2012,19,298011,49341,76907,171763,16.56,25.81,42.36
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2014,19,304778,51794,79803,173181,16.99,26.18,43.18
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2016,19,305281,47571,87910,169800,15.58,28.8,44.38
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2018,19,303739,51272,89494,162973,16.88,29.46,46.34
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2019,19,304783,53618,87078,164087,17.59,28.57,46.16
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2021,19,306474,54428,89426,162620,17.76,29.18,46.94
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2022,19,311772,54134,94494,163144,17.36,30.31,47.67
ARC of Coastal Bend-Texas,Texas Gulf Coast Region,Southwest and Rocky Mountain Division,2023,19,316390,52145,93699,170546,16.48,29.62,46.1
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2010,15,602336,60372,213927,328037,10.02,35.52,45.54
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2012,15,607765,74024,255247,278494,12.18,42.0,54.18
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2014,15,616914,74896,219108,322910,12.14,35.52,47.66
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2016,15,619485,66115,203911,349459,10.67,32.92,43.59
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2018,15,632982,68001,198238,366743,10.74,31.32,42.06
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2019,15,637431,66931,192354,378146,10.5,30.18,40.68
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2021,15,680550,72718,187860,419972,10.69,27.6,38.29
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2022,15,674753,82550,207563,384640,12.23,30.76,43.0
ARC of Coastal Virginia,Virginia Region,Central Atlantic Division,2023,15,676880,78761,206946,391173,11.64,30.57,42.21
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2010,7,1029718,103976,272494,653248,10.1,26.46,36.56
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2012,7,1023557,110875,266832,645850,10.83,26.07,36.9
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2014,7,1017396,113466,264659,639271,11.15,26.01,37.17
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2016,7,1021951,106041,258361,657549,10.38,25.28,35.66
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2018,7,1032457,111298,261283,659876,10.78,25.31,36.09
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2019,7,1036609,112332,257096,667181,10.84,24.8,35.64
ARC of Connecticut,Connecticut and Rhode Island Region,Northeast Division,2021,7,1071042,114246,296549,660247,10.67,27.69,38.35
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2010,3,698909,46144,171545,481220,6.6,24.54,31.15
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2012,3,697481,56922,172503,468056,8.16,24.73,32.89
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2014,3,699630,56378,188343,454909,8.06,26.92,34.98
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2016,3,704823,55076,181874,467873,7.81,25.8,33.62
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2018,3,713581,51331,164277,497973,7.19,23.02,30.21
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2019,3,724109,54226,156369,513514,7.49,21.59,29.08
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2021,3,757575,59939,179168,518468,7.91,23.65,31.56
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2022,3,756207,60001,193221,502985,7.93,25.55,33.49
ARC of Delaware Valley PA,Southeastern Pennsylvania Region,Northeast Division,2023,3,759538,61477,198268,499793,8.09,26.1,34.2
