RC_Chapter,RC_Region,RC_Division,Year,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,2019,20,438425,76203,134789,227433,17.38,30.74,48.12
ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,2021,20,457851,77748,149063,231040,16.98,32.56,49.54
ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,2022,20,462545,84305,143524,234716,18.23,31.03,49.26
ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,2023,20,476238,79305,151719,245214,16.65,31.86,48.51
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2010,32,358583,40077,74442,244064,11.18,20.76,31.94
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2012,32,357642,39671,78416,239555,11.09,21.93,33.02
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2014,32,360309,41154,82240,236915,11.42,22.82,34.25
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2016,32,363575,39245,81425,242905,10.79,22.4,33.19
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2018,32,367700,38789,89927,238984,10.55,24.46,35.01
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2019,32,370619,37790,85634,247195,10.2,23.11,33.3
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2021,32,370041,38057,89745,242239,10.28,24.25,34.54
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2022,32,376444,41061,93170,242213,10.91,24.75,35.66
ARC serving Southern Minnesota,Minnesota and Dakotas Region,North Central Division,2023,32,373991,38975,94248,240768,10.42,25.2,35.62
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2010,35,274594,45906,76598,152090,16.72,27.9,44.61
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2012,35,276099,43166,77555,155378,15.63,28.09,43.72
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2014,35,272832,42475,82072,148285,15.57,30.08,45.65
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2016,35,276321,42958,82941,150422,15.55,30.02,45.56
ARC serving Texas Big Country,North Texas Region,Southwest and Rocky Mountain Division,2018,35,275063,40735,87201,147127,14.81,31.7,46.51
